Item Fat Content,Item Identifier,Item Type,Outlet Establishment Year,Outlet Identifier,Outlet Location Type,Outlet Size,Outlet Type,Item Visibility,Item Weight,Sales,Rating
Regular,ITEM1945,Snacks,2006,OUT002,Tier 3,Medium,Supermarket Type1,0.047585567,4.4,430,2
Regular,ITEM1963,Snacks,2007,OUT007,Tier 3,Medium,Supermarket Type1,0.000271827,4.4,841,2
Low Fat,ITEM1976,Snacks,2000,OUT009,Tier 3,Medium,Supermarket Type1,0.038458445,3.1,459,0
Low Fat,ITEM1982,Beverages,2011,OUT007,Tier 3,Medium,Supermarket Type1,0.032945548,3.6,734,5
Low Fat,ITEM2045,Beverages,2003,OUT004,Tier 3,Medium,Supermarket Type1,0.092300733,3.4,2884,5
Low Fat,ITEM2061,Snacks,2020,OUT001,Tier 3,Medium,Supermarket Type1,0.042089263,2.2,1741,2
Regular,ITEM2110,Bakery Products,2012,OUT004,Tier 3,Medium,Supermarket Type1,0.096808239,2.5,2307,2
Low Fat,ITEM2278,Snacks,2016,OUT006,Tier 3,Medium,Supermarket Type1,0.056721831,2.3,558,1
Low Fat,ITEM2296,Dairy Products,2015,OUT010,Tier 3,Medium,Supermarket Type1,0.005858858,4.2,863,1
Regular,ITEM2355,Fruits and Vegetables,2003,OUT009,Tier 3,Medium,Supermarket Type1,0.011599856,4,227,2
Regular,ITEM2420,Bakery Products,2008,OUT007,Tier 3,Medium,Supermarket Type1,0.047781495,1.9,736,3
Regular,ITEM2422,Snacks,2009,OUT002,Tier 3,Medium,Supermarket Type1,0.042824962,4.5,2429,3
Regular,ITEM2443,Beverages,2019,OUT006,Tier 3,Medium,Supermarket Type1,0.064989457,2,2610,5
Low Fat,ITEM2455,Fruits and Vegetables,2016,OUT006,Tier 3,Medium,Supermarket Type1,0.08484617,4.2,1679,2
Regular,ITEM2468,Dairy Products,2000,OUT003,Tier 3,Medium,Supermarket Type1,0.008467439,4.4,2249,2
Regular,ITEM2505,Fruits and Vegetables,2009,OUT001,Tier 3,Medium,Supermarket Type1,0.076379535,0.9,395,5
Low Fat,ITEM2519,Beverages,2018,OUT002,Tier 3,Medium,Supermarket Type1,0.087297648,3.6,1434,2
Low Fat,ITEM2562,Snacks,2010,OUT007,Tier 3,Medium,Supermarket Type1,0.004327532,3.5,2729,3
Low Fat,ITEM2572,Fruits and Vegetables,2018,OUT009,Tier 3,Medium,Supermarket Type1,0.040557511,3.4,25,2
Low Fat,ITEM2629,Snacks,2013,OUT009,Tier 3,Medium,Supermarket Type1,0.058630635,1.8,2932,5
Regular,ITEM2671,Beverages,2004,OUT006,Tier 3,Medium,Supermarket Type1,0.018199558,3.5,1962,1
Low Fat,ITEM2684,Fruits and Vegetables,2011,OUT008,Tier 3,Medium,Supermarket Type1,0.06343415,3.3,1280,4
Regular,ITEM2706,Beverages,2003,OUT010,Tier 3,Medium,Supermarket Type1,0.042515815,0.2,136,2
Low Fat,ITEM2724,Bakery Products,2013,OUT002,Tier 3,Medium,Supermarket Type1,0.020026991,1.9,1456,3
Regular,ITEM2728,Bakery Products,2011,OUT009,Tier 3,Medium,Supermarket Type1,0.030665622,0.4,891,5
Regular,ITEM2796,Beverages,2007,OUT004,Tier 3,Medium,Supermarket Type1,0.093246071,2.9,356,2
Regular,ITEM2836,Fruits and Vegetables,2001,OUT004,Tier 3,Medium,Supermarket Type1,0.007474407,1.2,2332,2
Regular,ITEM2902,Dairy Products,2007,OUT005,Tier 3,Medium,Supermarket Type1,0.064070345,4.6,254,3
Regular,ITEM2904,Beverages,2004,OUT010,Tier 3,Medium,Supermarket Type1,0.061426425,3.8,596,2
Regular,ITEM2905,Beverages,2003,OUT003,Tier 3,Medium,Supermarket Type1,0.021680188,4.4,441,4
Low Fat,ITEM2906,Bakery Products,2013,OUT004,Tier 3,Medium,Supermarket Type1,0.004217738,2.7,2230,0
Regular,ITEM2907,Snacks,2003,OUT008,Tier 3,Medium,Supermarket Type1,0.014384931,3.2,879,1
Low Fat,ITEM2912,Beverages,2010,OUT007,Tier 3,Medium,Supermarket Type1,0.016698515,2.7,65,5
Low Fat,ITEM2913,Dairy Products,2013,OUT001,Tier 3,Medium,Supermarket Type1,0.069412282,1.5,881,3
Regular,ITEM2933,Bakery Products,2018,OUT004,Tier 3,Medium,Supermarket Type1,0.044694242,2.3,1287,1
Low Fat,ITEM2951,Bakery Products,2010,OUT010,Tier 3,Medium,Supermarket Type1,0.065811446,3.9,1734,4
Low Fat,ITEM2968,Dairy Products,2012,OUT006,Tier 3,Medium,Supermarket Type1,0.073092203,3.4,737,2
Low Fat,ITEM2980,Dairy Products,2003,OUT010,Tier 3,Medium,Supermarket Type1,0.027129409,0.9,362,5
Regular,ITEM0042,Bakery Products,2015,OUT007,Tier 2,Medium,Supermarket Type1,0.052427415,1.1,1267,0
Low Fat,ITEM0055,Bakery Products,2013,OUT009,Tier 2,Medium,Supermarket Type1,0.052977871,4.4,1813,5
Low Fat,ITEM0059,Dairy Products,2014,OUT008,Tier 2,Medium,Supermarket Type1,0.088335999,3,1594,4
Regular,ITEM0086,Snacks,2016,OUT010,Tier 2,Medium,Supermarket Type1,0.078297217,2.6,2113,3
Low Fat,ITEM0109,Bakery Products,2000,OUT009,Tier 2,Medium,Supermarket Type1,0.018458093,3.5,2887,3
Regular,ITEM0127,Snacks,2005,OUT006,Tier 2,Medium,Supermarket Type1,0.014894302,4.9,2706,1
Low Fat,ITEM0186,Fruits and Vegetables,2007,OUT003,Tier 2,Medium,Supermarket Type1,0.05587832,4.3,1909,2
Regular,ITEM0205,Beverages,2015,OUT001,Tier 2,Medium,Supermarket Type1,0.005920694,4.6,889,4
Regular,ITEM0228,Bakery Products,2018,OUT001,Tier 2,Medium,Supermarket Type1,0.010301597,3.7,1853,0
Low Fat,ITEM0244,Fruits and Vegetables,2013,OUT010,Tier 2,Medium,Supermarket Type1,0.075736143,3.9,1366,2
Regular,ITEM0315,Beverages,2016,OUT006,Tier 2,Medium,Supermarket Type1,0.075748964,3.1,2828,2
Regular,ITEM0329,Fruits and Vegetables,2005,OUT009,Tier 2,Medium,Supermarket Type1,0.043788995,0.2,2205,2
Low Fat,ITEM0330,Bakery Products,2009,OUT003,Tier 2,Medium,Supermarket Type1,0.028883778,2.6,496,3
Low Fat,ITEM0364,Bakery Products,2020,OUT002,Tier 2,Medium,Supermarket Type1,0.050313797,2.8,688,2
Regular,ITEM0458,Fruits and Vegetables,2012,OUT007,Tier 2,Medium,Supermarket Type1,0.006266978,2.4,1344,4
Regular,ITEM0487,Beverages,2019,OUT008,Tier 2,Medium,Supermarket Type1,0.089718848,2,1,4
Regular,ITEM0519,Bakery Products,2014,OUT008,Tier 2,Medium,Supermarket Type1,0.083385019,0.4,627,1
Low Fat,ITEM0528,Bakery Products,2007,OUT002,Tier 2,Medium,Supermarket Type1,0.060494913,0.2,2909,1
Low Fat,ITEM0544,Bakery Products,2002,OUT007,Tier 2,Medium,Supermarket Type1,0.025518119,3.4,2822,3
Regular,ITEM0549,Beverages,2016,OUT006,Tier 2,Medium,Supermarket Type1,0.092406075,3.6,2396,3
Low Fat,ITEM0602,Beverages,2011,OUT007,Tier 2,Medium,Supermarket Type1,0.020878963,1.2,1235,4
Low Fat,ITEM0604,Bakery Products,2013,OUT003,Tier 2,Medium,Supermarket Type1,0.055602266,3.3,97,0
Regular,ITEM0648,Snacks,2017,OUT008,Tier 2,Medium,Supermarket Type1,0.041809193,2.5,152,1
Regular,ITEM0665,Bakery Products,2020,OUT001,Tier 2,Medium,Supermarket Type1,0.023978023,1.7,1663,3
Low Fat,ITEM0685,Beverages,2003,OUT006,Tier 2,Medium,Supermarket Type1,0.002461393,2.4,2237,0
Regular,ITEM0698,Fruits and Vegetables,2018,OUT003,Tier 2,Medium,Supermarket Type1,0.018029902,1.5,1338,3
Regular,ITEM0707,Dairy Products,2013,OUT006,Tier 2,Medium,Supermarket Type1,0.023346592,3.3,2557,1
Low Fat,ITEM0741,Beverages,2008,OUT001,Tier 2,Medium,Supermarket Type1,0.048849511,4.4,849,1
Low Fat,ITEM0743,Beverages,2020,OUT007,Tier 2,Medium,Supermarket Type1,0.098676257,0.8,835,1
Regular,ITEM0759,Dairy Products,2020,OUT001,Tier 2,Medium,Supermarket Type1,0.059474804,3.9,1976,2
Low Fat,ITEM0764,Dairy Products,2016,OUT009,Tier 2,Medium,Supermarket Type1,0.003413275,4.8,2925,2
Low Fat,ITEM0886,Snacks,2011,OUT007,Tier 2,Medium,Supermarket Type1,0.036772563,4.2,1616,2
Regular,ITEM0902,Beverages,2012,OUT001,Tier 2,Medium,Supermarket Type1,0.032932759,1.6,903,4
Low Fat,ITEM0921,Bakery Products,2000,OUT004,Tier 2,Medium,Supermarket Type1,0.07338933,0.6,2904,4
Low Fat,ITEM0952,Beverages,2007,OUT010,Tier 2,Medium,Supermarket Type1,0.018165244,0.8,1684,3
Regular,ITEM0957,Fruits and Vegetables,2010,OUT002,Tier 2,Medium,Supermarket Type1,0.002283927,0.4,208,3
Regular,ITEM1046,Dairy Products,2009,OUT009,Tier 2,Medium,Supermarket Type1,0.009299329,3.8,2284,1
Regular,ITEM1056,Beverages,2014,OUT005,Tier 2,Medium,Supermarket Type1,0.042150177,4.8,703,4
Regular,ITEM1077,Fruits and Vegetables,2014,OUT007,Tier 2,Medium,Supermarket Type1,0.083287533,2.2,704,5
Low Fat,ITEM1107,Bakery Products,2007,OUT006,Tier 2,Medium,Supermarket Type1,0.07037624,0.3,325,3
Regular,ITEM1112,Fruits and Vegetables,2013,OUT004,Tier 2,Medium,Supermarket Type1,0.008491243,0.5,1903,4
Regular,ITEM1144,Beverages,2010,OUT005,Tier 2,Medium,Supermarket Type1,0.016087501,4.4,2649,2
Regular,ITEM1196,Fruits and Vegetables,2016,OUT001,Tier 2,Medium,Supermarket Type1,0.095808741,3.6,1347,3
Regular,ITEM1204,Snacks,2019,OUT001,Tier 2,Medium,Supermarket Type1,0.094717879,1.5,2413,1
Regular,ITEM1259,Beverages,2009,OUT002,Tier 2,Medium,Supermarket Type1,0.007983526,1.2,942,4
Low Fat,ITEM1261,Beverages,2005,OUT002,Tier 2,Medium,Supermarket Type1,0.06373797,2.8,2369,1
Low Fat,ITEM1263,Fruits and Vegetables,2006,OUT005,Tier 2,Medium,Supermarket Type1,0.03327928,1.8,2982,1
Regular,ITEM1268,Dairy Products,2006,OUT005,Tier 2,Medium,Supermarket Type1,0.088647994,4,124,1
Low Fat,ITEM1288,Fruits and Vegetables,2012,OUT003,Tier 2,Medium,Supermarket Type1,0.021482473,1,2025,1
Low Fat,ITEM1334,Snacks,2006,OUT007,Tier 2,Medium,Supermarket Type1,0.045905734,3.8,2023,2
Regular,ITEM1366,Bakery Products,2000,OUT008,Tier 2,Medium,Supermarket Type1,0.025093591,4.2,1882,1
Regular,ITEM1370,Fruits and Vegetables,2019,OUT003,Tier 2,Medium,Supermarket Type1,0.050201931,2.5,1830,3
Regular,ITEM1418,Snacks,2004,OUT003,Tier 2,Medium,Supermarket Type1,0.046390983,3.3,1445,4
Regular,ITEM1452,Fruits and Vegetables,2009,OUT006,Tier 2,Medium,Supermarket Type1,0.067826258,2.6,1471,3
Low Fat,ITEM1458,Beverages,2020,OUT008,Tier 2,Medium,Supermarket Type1,0.036882999,5,784,3
Low Fat,ITEM1476,Dairy Products,2012,OUT004,Tier 2,Medium,Supermarket Type1,0.002176999,4.8,2438,3
Low Fat,ITEM1481,Bakery Products,2007,OUT006,Tier 2,Medium,Supermarket Type1,0.079145926,1.5,267,3
Low Fat,ITEM1550,Dairy Products,2013,OUT008,Tier 2,Medium,Supermarket Type1,0.015758628,1.1,1556,4
Low Fat,ITEM1561,Dairy Products,2006,OUT005,Tier 2,Medium,Supermarket Type1,0.074950628,2.7,1668,3
Regular,ITEM1605,Snacks,2007,OUT002,Tier 2,Medium,Supermarket Type1,0.061015285,2.1,1253,2
Low Fat,ITEM1608,Snacks,2016,OUT006,Tier 2,Medium,Supermarket Type1,0.08093928,1,1221,1
Low Fat,ITEM1610,Beverages,2017,OUT002,Tier 2,Medium,Supermarket Type1,0.042517649,1.9,1818,2
Regular,ITEM1624,Bakery Products,2018,OUT006,Tier 2,Medium,Supermarket Type1,0.053907098,0.4,2194,0
Regular,ITEM1632,Snacks,2019,OUT009,Tier 2,Medium,Supermarket Type1,0.098689496,2.8,800,5
Low Fat,ITEM1666,Fruits and Vegetables,2003,OUT001,Tier 2,Medium,Supermarket Type1,0.095501548,4.1,513,3
Low Fat,ITEM1689,Fruits and Vegetables,2009,OUT008,Tier 2,Medium,Supermarket Type1,0.045075536,5,1954,2
Regular,ITEM1703,Bakery Products,2007,OUT003,Tier 2,Medium,Supermarket Type1,0.029475236,4.6,1131,3
Low Fat,ITEM1751,Dairy Products,2009,OUT008,Tier 2,Medium,Supermarket Type1,0.047921238,3,2992,2
Regular,ITEM1787,Fruits and Vegetables,2003,OUT004,Tier 2,Medium,Supermarket Type1,0.025056818,2.9,2617,2
Regular,ITEM1792,Snacks,2002,OUT004,Tier 2,Medium,Supermarket Type1,0.035622229,4.4,2135,1
Low Fat,ITEM1807,Dairy Products,2005,OUT005,Tier 2,Medium,Supermarket Type1,0.056148231,4,1942,2
Regular,ITEM1817,Snacks,2007,OUT009,Tier 2,Medium,Supermarket Type1,0.079085019,1.5,2268,4
Regular,ITEM1821,Dairy Products,2018,OUT008,Tier 2,Medium,Supermarket Type1,0.076770192,3.4,93,1
Regular,ITEM1871,Beverages,2010,OUT008,Tier 2,Medium,Supermarket Type1,0.074128523,4.4,1789,3
Regular,ITEM1882,Dairy Products,2001,OUT003,Tier 2,Medium,Supermarket Type1,0.012489842,2.1,2666,2
Regular,ITEM1916,Bakery Products,2005,OUT006,Tier 2,Medium,Supermarket Type1,0.010640063,3,894,2
Low Fat,ITEM2000,Dairy Products,2004,OUT008,Tier 2,Medium,Supermarket Type1,0.034282874,0.8,2387,1
Low Fat,ITEM2027,Beverages,2000,OUT002,Tier 2,Medium,Supermarket Type1,0.034548094,1.3,566,2
Low Fat,ITEM2033,Fruits and Vegetables,2012,OUT008,Tier 2,Medium,Supermarket Type1,0.052476313,0.4,2119,1
Regular,ITEM2047,Snacks,2007,OUT006,Tier 2,Medium,Supermarket Type1,0.016795793,3,774,2
Low Fat,ITEM2050,Bakery Products,2014,OUT008,Tier 2,Medium,Supermarket Type1,0.035207369,4.3,2212,1
Low Fat,ITEM2089,Beverages,2019,OUT001,Tier 2,Medium,Supermarket Type1,0.084663169,3.4,619,1
Regular,ITEM2114,Beverages,2008,OUT007,Tier 2,Medium,Supermarket Type1,0.021137436,4.6,2396,1
Low Fat,ITEM2118,Beverages,2017,OUT007,Tier 2,Medium,Supermarket Type1,0.014189892,3.4,158,3
Low Fat,ITEM2139,Bakery Products,2012,OUT008,Tier 2,Medium,Supermarket Type1,0.004607503,0.1,2735,4
Low Fat,ITEM2143,Fruits and Vegetables,2012,OUT007,Tier 2,Medium,Supermarket Type1,0.045634422,0.4,2887,5
Regular,ITEM2153,Snacks,2011,OUT006,Tier 2,Medium,Supermarket Type1,0.076694588,0,2582,4
Regular,ITEM2171,Fruits and Vegetables,2007,OUT006,Tier 2,Medium,Supermarket Type1,0.078147343,0.2,1013,3
Regular,ITEM2186,Fruits and Vegetables,2018,OUT005,Tier 2,Medium,Supermarket Type1,0.048550941,2.4,1649,2
Low Fat,ITEM2240,Dairy Products,2006,OUT008,Tier 2,Medium,Supermarket Type1,0.071570799,2.5,1889,0
Regular,ITEM2244,Bakery Products,2013,OUT008,Tier 2,Medium,Supermarket Type1,0.061537552,4.5,1680,2
Regular,ITEM2297,Fruits and Vegetables,2014,OUT009,Tier 2,Medium,Supermarket Type1,0.03014252,0.2,260,2
Regular,ITEM2311,Beverages,2012,OUT006,Tier 2,Medium,Supermarket Type1,0.082504085,4.4,1104,1
Regular,ITEM2319,Bakery Products,2014,OUT001,Tier 2,Medium,Supermarket Type1,0.070507631,2,1465,1
Low Fat,ITEM2329,Dairy Products,2014,OUT003,Tier 2,Medium,Supermarket Type1,0.023758351,1.7,2662,3
Low Fat,ITEM2340,Dairy Products,2010,OUT008,Tier 2,Medium,Supermarket Type1,0.076447257,0.4,2909,1
Regular,ITEM2427,Beverages,2009,OUT005,Tier 2,Medium,Supermarket Type1,0.035803003,3,32,2
Regular,ITEM2475,Bakery Products,2003,OUT009,Tier 2,Medium,Supermarket Type1,0.020182928,2.2,301,1
Regular,ITEM2498,Dairy Products,2008,OUT010,Tier 2,Medium,Supermarket Type1,0.095344899,3.3,1683,1
Low Fat,ITEM2590,Bakery Products,2006,OUT009,Tier 2,Medium,Supermarket Type1,0.018255178,2,83,4
Low Fat,ITEM2621,Bakery Products,2004,OUT007,Tier 2,Medium,Supermarket Type1,0.044066932,2.5,2945,4
Low Fat,ITEM2675,Snacks,2010,OUT005,Tier 2,Medium,Supermarket Type1,0.026112309,2.1,1905,0
Low Fat,ITEM2677,Snacks,2020,OUT010,Tier 2,Medium,Supermarket Type1,0.054889535,2.2,2716,2
Low Fat,ITEM2678,Fruits and Vegetables,2006,OUT006,Tier 2,Medium,Supermarket Type1,0.027978552,1.2,231,4
Low Fat,ITEM2697,Dairy Products,2014,OUT006,Tier 2,Medium,Supermarket Type1,0.099473937,3.2,2227,1
Low Fat,ITEM2705,Bakery Products,2009,OUT002,Tier 2,Medium,Supermarket Type1,0.016294884,0.6,2884,2
Low Fat,ITEM2713,Beverages,2018,OUT002,Tier 2,Medium,Supermarket Type1,0.00922851,2.7,663,2
Low Fat,ITEM2723,Snacks,2001,OUT002,Tier 2,Medium,Supermarket Type1,0.002901178,2.3,1082,4
Regular,ITEM2767,Bakery Products,2001,OUT006,Tier 2,Medium,Supermarket Type1,0.056287875,4.6,2537,2
Low Fat,ITEM2768,Snacks,2016,OUT006,Tier 2,Medium,Supermarket Type1,0.019204827,1.7,2759,4
Regular,ITEM2803,Beverages,2011,OUT002,Tier 2,Medium,Supermarket Type1,0.072957863,1.6,2410,3
Low Fat,ITEM2818,Fruits and Vegetables,2019,OUT003,Tier 2,Medium,Supermarket Type1,0.044130657,0.4,278,5
Regular,ITEM2839,Fruits and Vegetables,2008,OUT007,Tier 2,Medium,Supermarket Type1,0.063357355,3.8,1683,2
Regular,ITEM2862,Snacks,2003,OUT009,Tier 2,Medium,Supermarket Type1,0.057745411,4.2,2506,2
Regular,ITEM2874,Beverages,2014,OUT003,Tier 2,Medium,Supermarket Type1,0.042402194,3.2,396,1
Regular,ITEM2890,Beverages,2008,OUT009,Tier 2,Medium,Supermarket Type1,0.094912395,2.9,1768,1
Regular,ITEM2914,Beverages,2017,OUT003,Tier 2,Medium,Supermarket Type1,0.046631714,0.6,431,4
Regular,ITEM2930,Beverages,2018,OUT006,Tier 2,Medium,Supermarket Type1,0.018397135,1.2,1801,5
Regular,ITEM0008,Fruits and Vegetables,2009,OUT005,Tier 1,Small,Supermarket Type1,0.09505348,1.1,369,5
Regular,ITEM0038,Bakery Products,2018,OUT007,Tier 1,Small,Supermarket Type1,0.019032508,0.5,2619,2
Low Fat,ITEM0040,Snacks,2016,OUT003,Tier 1,Small,Supermarket Type1,0.067673773,0.7,365,3
Regular,ITEM0053,Dairy Products,2014,OUT002,Tier 1,Small,Supermarket Type1,0.011274962,0.7,1851,3
Low Fat,ITEM0067,Bakery Products,2017,OUT009,Tier 1,Small,Supermarket Type1,0.099293875,1.6,2071,2
Regular,ITEM0107,Dairy Products,2016,OUT007,Tier 1,Small,Supermarket Type1,0.010828629,5,317,1
Low Fat,ITEM0145,Dairy Products,2020,OUT004,Tier 1,Small,Supermarket Type1,0.073730205,1.5,1486,4
Regular,ITEM0146,Snacks,2014,OUT003,Tier 1,Small,Supermarket Type1,0.04882994,0.5,2767,5
Regular,ITEM0254,Dairy Products,2012,OUT002,Tier 1,Small,Supermarket Type1,0.041123715,2.8,2023,1
Regular,ITEM0296,Bakery Products,2008,OUT007,Tier 1,Small,Supermarket Type1,0.015038455,0.2,2972,2
Regular,ITEM0355,Bakery Products,2014,OUT002,Tier 1,Small,Supermarket Type1,0.030012279,2.6,2359,1
Low Fat,ITEM0393,Beverages,2007,OUT009,Tier 1,Small,Supermarket Type1,0.021640624,0,363,5
Regular,ITEM0470,Beverages,2004,OUT007,Tier 1,Small,Supermarket Type1,0.077245438,1.4,176,2
Low Fat,ITEM0489,Dairy Products,2019,OUT006,Tier 1,Small,Supermarket Type1,0.046221248,4,2842,4
Regular,ITEM0491,Fruits and Vegetables,2013,OUT009,Tier 1,Small,Supermarket Type1,0.020917311,2.5,2955,1
Regular,ITEM0524,Fruits and Vegetables,2001,OUT003,Tier 1,Small,Supermarket Type1,0.020980896,3.6,449,2
Low Fat,ITEM0576,Beverages,2010,OUT008,Tier 1,Small,Supermarket Type1,0.010947174,1.8,2866,4
Low Fat,ITEM0606,Beverages,2006,OUT006,Tier 1,Small,Supermarket Type1,0.065667271,4.6,1517,3
Low Fat,ITEM0624,Bakery Products,2005,OUT001,Tier 1,Small,Supermarket Type1,0.06358435,3,2742,3
Regular,ITEM0642,Bakery Products,2011,OUT009,Tier 1,Small,Supermarket Type1,0.092574916,1.1,2249,3
Regular,ITEM0645,Beverages,2017,OUT009,Tier 1,Small,Supermarket Type1,0.061715376,1.3,1258,3
Low Fat,ITEM0650,Snacks,2010,OUT004,Tier 1,Small,Supermarket Type1,0.066880425,0.8,378,1
Regular,ITEM0658,Fruits and Vegetables,2005,OUT008,Tier 1,Small,Supermarket Type1,0.003362289,2,663,1
Regular,ITEM0690,Fruits and Vegetables,2000,OUT003,Tier 1,Small,Supermarket Type1,0.062656922,2.3,858,5
Regular,ITEM0716,Dairy Products,2014,OUT004,Tier 1,Small,Supermarket Type1,0.063257317,0.7,60,4
Low Fat,ITEM0726,Bakery Products,2001,OUT001,Tier 1,Small,Supermarket Type1,0.099345064,2.7,1582,5
Regular,ITEM0781,Snacks,2008,OUT005,Tier 1,Small,Supermarket Type1,0.083026368,4.2,2462,5
Low Fat,ITEM0791,Snacks,2003,OUT005,Tier 1,Small,Supermarket Type1,0.060147428,3.3,654,0
Regular,ITEM0795,Beverages,2000,OUT005,Tier 1,Small,Supermarket Type1,0.098593914,0.6,2532,1
Regular,ITEM0829,Fruits and Vegetables,2010,OUT007,Tier 1,Small,Supermarket Type1,0.039872685,1.1,901,2
Low Fat,ITEM0832,Bakery Products,2002,OUT003,Tier 1,Small,Supermarket Type1,0.063131589,0.6,251,4
Regular,ITEM0836,Fruits and Vegetables,2017,OUT009,Tier 1,Small,Supermarket Type1,0.033887678,0.3,2492,5
Regular,ITEM0884,Fruits and Vegetables,2002,OUT010,Tier 1,Small,Supermarket Type1,0.06572568,1.4,277,0
Regular,ITEM0894,Dairy Products,2008,OUT009,Tier 1,Small,Supermarket Type1,0.092865632,1.1,2591,5
Regular,ITEM0940,Bakery Products,2014,OUT001,Tier 1,Small,Supermarket Type1,0.038525611,3,182,0
Regular,ITEM0941,Snacks,2009,OUT006,Tier 1,Small,Supermarket Type1,0.05940748,4.6,1428,0
Regular,ITEM0962,Fruits and Vegetables,2015,OUT008,Tier 1,Small,Supermarket Type1,0.028345982,4.1,1211,5
Regular,ITEM0965,Fruits and Vegetables,2013,OUT008,Tier 1,Small,Supermarket Type1,0.00654048,2.2,2039,4
Regular,ITEM0982,Snacks,2010,OUT010,Tier 1,Small,Supermarket Type1,0.069565318,4.3,78,2
Low Fat,ITEM1004,Bakery Products,2000,OUT006,Tier 1,Small,Supermarket Type1,0.049385946,0.1,632,3
Low Fat,ITEM1006,Bakery Products,2002,OUT009,Tier 1,Small,Supermarket Type1,0.083620104,2.3,1672,1
Regular,ITEM1050,Beverages,2013,OUT002,Tier 1,Small,Supermarket Type1,0.015274328,4.8,2886,2
Low Fat,ITEM1052,Bakery Products,2020,OUT002,Tier 1,Small,Supermarket Type1,0.092850982,3.7,2104,1
Low Fat,ITEM1065,Dairy Products,2012,OUT007,Tier 1,Small,Supermarket Type1,0.012693932,3.7,2512,2
Low Fat,ITEM1084,Beverages,2013,OUT010,Tier 1,Small,Supermarket Type1,0.078098271,2.7,2537,1
Low Fat,ITEM1100,Snacks,2001,OUT005,Tier 1,Small,Supermarket Type1,0.049931264,3.3,514,0
Regular,ITEM1101,Fruits and Vegetables,2003,OUT006,Tier 1,Small,Supermarket Type1,0.070886368,1.4,1396,2
Regular,ITEM1121,Fruits and Vegetables,2003,OUT006,Tier 1,Small,Supermarket Type1,0.09255429,2.1,1518,2
Low Fat,ITEM1133,Bakery Products,2006,OUT002,Tier 1,Small,Supermarket Type1,0.090804981,4.4,1810,2
Regular,ITEM1141,Beverages,2011,OUT004,Tier 1,Small,Supermarket Type1,0.028943563,4.6,253,5
Low Fat,ITEM1182,Snacks,2018,OUT002,Tier 1,Small,Supermarket Type1,0.061860294,1.8,2537,4
Regular,ITEM1194,Dairy Products,2008,OUT010,Tier 1,Small,Supermarket Type1,0.068420814,2.8,31,5
Regular,ITEM1225,Dairy Products,2002,OUT002,Tier 1,Small,Supermarket Type1,0.069150183,3.5,2015,3
Low Fat,ITEM1229,Bakery Products,2011,OUT008,Tier 1,Small,Supermarket Type1,0.071501241,2.4,1265,3
Low Fat,ITEM1245,Dairy Products,2007,OUT005,Tier 1,Small,Supermarket Type1,0.053579945,2.1,2167,0
Regular,ITEM1360,Bakery Products,2000,OUT004,Tier 1,Small,Supermarket Type1,0.005260531,4.8,2886,3
Low Fat,ITEM1433,Snacks,2007,OUT009,Tier 1,Small,Supermarket Type1,0.044258703,0.5,2023,0
Regular,ITEM1446,Fruits and Vegetables,2004,OUT006,Tier 1,Small,Supermarket Type1,0.030281985,0.4,1842,4
Regular,ITEM1466,Beverages,2010,OUT007,Tier 1,Small,Supermarket Type1,0.045413176,0.2,2799,0
Low Fat,ITEM1495,Fruits and Vegetables,2018,OUT009,Tier 1,Small,Supermarket Type1,0.052625548,1,710,0
Regular,ITEM1503,Bakery Products,2007,OUT008,Tier 1,Small,Supermarket Type1,0.086166344,4.4,915,4
Low Fat,ITEM1506,Snacks,2000,OUT007,Tier 1,Small,Supermarket Type1,0.091725992,0.2,2232,4
Regular,ITEM1545,Snacks,2003,OUT009,Tier 1,Small,Supermarket Type1,0.031447653,2.6,1939,0
Low Fat,ITEM1569,Dairy Products,2005,OUT005,Tier 1,Small,Supermarket Type1,0.089673491,1.6,1700,1
Regular,ITEM1598,Dairy Products,2009,OUT006,Tier 1,Small,Supermarket Type1,0.068390164,4.2,1196,4
Regular,ITEM1611,Dairy Products,2003,OUT010,Tier 1,Small,Supermarket Type1,0.00169473,1.6,942,1
Low Fat,ITEM1621,Bakery Products,2020,OUT009,Tier 1,Small,Supermarket Type1,0.061701675,3.8,1673,0
Regular,ITEM1644,Beverages,2001,OUT004,Tier 1,Small,Supermarket Type1,0.076356155,3.2,530,2
Low Fat,ITEM1669,Dairy Products,2010,OUT004,Tier 1,Small,Supermarket Type1,0.046589055,2.3,546,4
Low Fat,ITEM1676,Bakery Products,2011,OUT010,Tier 1,Small,Supermarket Type1,0.097132443,2.1,974,2
Regular,ITEM1682,Beverages,2015,OUT007,Tier 1,Small,Supermarket Type1,0.002388423,1.5,1494,2
Low Fat,ITEM1711,Dairy Products,2012,OUT009,Tier 1,Small,Supermarket Type1,0.023737515,2.9,2847,5
Regular,ITEM1775,Fruits and Vegetables,2004,OUT001,Tier 1,Small,Supermarket Type1,0.066476637,2.6,89,5
Low Fat,ITEM1816,Bakery Products,2012,OUT007,Tier 1,Small,Supermarket Type1,0.00803285,3.5,1233,5
Regular,ITEM1942,Snacks,2008,OUT006,Tier 1,Small,Supermarket Type1,0.051411569,3.1,2036,3
